0.318 0.002 
0.318 0.004 
0.318 0.006 
0.318 0.008 
0.318 0.01 
0.318 0.012 
0.318 0.014 
0.318 0.016 
0.318 0.018 
0.318 0.02 
0.318 0.022 
0.318 0.024 
0.318 0.026 
0.318 0.028 
0.318 0.03 
0.318 0.032 
0.318 0.034 
0.318 0.036 
0.318 0.038 
0.318 0.04 
0.318 0.042 
0.318 0.044 
0.318 0.046 
0.318 0.048 
0.318 0.05 
0.318 0.052 
0.318 0.054 
0.318 0.056 
0.318 0.058 
0.318 0.06 
0.318 0.062 
0.318 0.064 
0.318 0.066 
0.318 0.068 
0.318 0.07 
0.318 0.072 
0.318 0.074 
0.318 0.076 
0.318 0.078 
0.318 0.08 
0.318 0.082 
0.318 0.084 
0.318 0.086 
0.318 0.088 
0.318 0.09 
0.318 0.092 
0.318 0.094 
0.318 0.096 
0.318 0.098 
0.318 0.1 
0.32 0.002 
0.32 0.004 
0.32 0.004 
0.32 0.006 
0.32 0.006 
0.32 0.008 
0.32 0.008 
0.32 0.01 
0.32 0.01 
0.32 0.012 
0.32 0.012 
0.32 0.014 
0.32 0.014 
0.32 0.016 
0.32 0.016 
0.32 0.018 
0.32 0.018 
0.32 0.02 
0.32 0.02 
0.32 0.022 
0.32 0.022 
0.32 0.024 
0.32 0.024 
0.32 0.026 
0.32 0.026 
0.32 0.028 
0.32 0.028 
0.32 0.03 
0.32 0.03 
0.32 0.032 
0.32 0.032 
0.32 0.034 
0.32 0.034 
0.32 0.036 
0.32 0.036 
0.32 0.038 
0.32 0.038 
0.32 0.04 
0.32 0.04 
0.32 0.042 
0.32 0.042 
0.32 0.044 
0.32 0.044 
0.32 0.046 
0.32 0.046 
0.32 0.048 
0.32 0.048 
0.32 0.05 
0.32 0.05 
0.32 0.052 
0.32 0.052 
0.32 0.054 
0.32 0.054 
0.32 0.056 
0.32 0.056 
0.32 0.058 
0.32 0.058 
0.32 0.06 
0.32 0.06 
0.32 0.062 
0.32 0.062 
0.32 0.064 
0.32 0.064 
0.32 0.066 
0.32 0.066 
0.32 0.068 
0.32 0.068 
0.32 0.07 
0.32 0.07 
0.32 0.072 
0.32 0.072 
0.32 0.074 
0.32 0.074 
0.32 0.076 
0.32 0.076 
0.32 0.078 
0.32 0.078 
0.32 0.08 
0.32 0.08 
0.32 0.082 
0.32 0.082 
0.32 0.084 
0.32 0.084 
0.32 0.086 
0.32 0.086 
0.32 0.088 
0.32 0.088 
0.32 0.09 
0.32 0.09 
0.32 0.092 
0.32 0.092 
0.32 0.094 
0.32 0.094 
0.32 0.096 
0.32 0.096 
0.32 0.098 
0.32 0.098 
0.316 0.002 
0.316 0.004 
0.316 0.004 
0.316 0.006 
0.316 0.006 
0.316 0.008 
0.316 0.008 
0.316 0.01 
0.316 0.01 
0.316 0.012 
0.316 0.012 
0.316 0.014 
0.316 0.014 
0.316 0.016 
0.316 0.016 
0.316 0.018 
0.316 0.018 
0.316 0.02 
0.316 0.02 
0.316 0.022 
0.316 0.022 
0.316 0.024 
0.316 0.024 
0.316 0.026 
0.316 0.026 
0.316 0.028 
0.316 0.028 
0.316 0.03 
0.316 0.03 
0.316 0.032 
0.316 0.032 
0.316 0.034 
0.316 0.034 
0.316 0.036 
0.316 0.036 
0.316 0.038 
0.316 0.038 
0.316 0.04 
0.316 0.04 
0.316 0.042 
0.316 0.042 
0.316 0.044 
0.316 0.044 
0.316 0.046 
0.316 0.046 
0.316 0.048 
0.316 0.048 
0.316 0.05 
0.316 0.05 
0.316 0.052 
0.316 0.052 
0.316 0.054 
0.316 0.054 
0.316 0.056 
0.316 0.056 
0.316 0.058 
0.316 0.058 
0.316 0.06 
0.316 0.06 
0.316 0.062 
0.316 0.062 
0.316 0.064 
0.316 0.064 
0.316 0.066 
0.316 0.066 
0.316 0.068 
0.316 0.068 
0.316 0.07 
0.316 0.07 
0.316 0.072 
0.316 0.072 
0.316 0.074 
0.316 0.074 
0.316 0.076 
0.316 0.076 
0.316 0.078 
0.316 0.078 
0.316 0.08 
0.316 0.08 
0.316 0.082 
0.316 0.082 
0.316 0.084 
0.316 0.084 
0.316 0.086 
0.316 0.086 
0.316 0.088 
0.316 0.088 
0.316 0.09 
0.316 0.09 
0.316 0.092 
0.316 0.092 
0.316 0.094 
0.316 0.094 
0.316 0.096 
0.316 0.096 
0.316 0.098 
0.316 0.098 
0.322 0.002 
0.322 0.004 
0.322 0.004 
0.322 0.006 
0.322 0.006 
0.322 0.008 
0.322 0.008 
0.322 0.01 
0.322 0.01 
0.322 0.012 
0.322 0.012 
0.322 0.014 
0.322 0.014 
0.322 0.016 
0.322 0.016 
0.322 0.018 
0.322 0.018 
0.322 0.02 
0.322 0.02 
0.322 0.022 
0.322 0.022 
0.322 0.024 
0.322 0.024 
0.322 0.026 
0.322 0.026 
0.322 0.028 
0.322 0.028 
0.322 0.03 
0.322 0.03 
0.322 0.032 
0.322 0.032 
0.322 0.034 
0.322 0.034 
0.322 0.036 
0.322 0.036 
0.322 0.038 
0.322 0.038 
0.322 0.04 
0.322 0.04 
0.322 0.042 
0.322 0.042 
0.322 0.044 
0.322 0.044 
0.322 0.046 
0.322 0.046 
0.322 0.048 
0.322 0.048 
0.322 0.05 
0.322 0.05 
0.322 0.052 
0.322 0.052 
0.322 0.054 
0.322 0.054 
0.322 0.056 
0.322 0.056 
0.322 0.058 
0.322 0.058 
0.322 0.06 
0.322 0.06 
0.322 0.062 
0.322 0.062 
0.322 0.064 
0.322 0.064 
0.322 0.066 
0.322 0.066 
0.322 0.068 
0.322 0.068 
0.322 0.07 
0.322 0.07 
0.322 0.072 
0.322 0.072 
0.322 0.074 
0.322 0.074 
0.322 0.076 
0.322 0.076 
0.322 0.078 
0.322 0.078 
0.322 0.08 
0.322 0.08 
0.322 0.082 
0.322 0.082 
0.322 0.084 
0.322 0.084 
0.322 0.086 
0.322 0.086 
0.322 0.088 
0.322 0.088 
0.322 0.09 
0.322 0.09 
0.322 0.092 
0.322 0.092 
0.322 0.094 
0.322 0.094 
0.322 0.096 
0.322 0.096 
0.322 0.098 
0.322 0.098 
0.314 0.002 
0.314 0.004 
0.314 0.004 
0.314 0.006 
0.314 0.006 
0.314 0.008 
0.314 0.008 
0.314 0.01 
0.314 0.01 
0.314 0.012 
0.314 0.012 
0.314 0.014 
0.314 0.014 
0.314 0.016 
0.314 0.016 
0.314 0.018 
